indicator	type	source	first_seen	last_seen	confidence	tlp	tags	reference	context
199[.]45[.]155[.]105	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]107	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]108	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]109	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]110	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]111	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]64	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]67	ipv4	blocklist_de_ssh,ci_army_list	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,cins,scanner,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]70	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]71	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]74	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]76	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]77	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]80	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]81	ipv4	ci_army_list,greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,greensnow,scanner	https://greensnow.co/	Blocklist entry from greensnow_blocklist
199[.]45[.]155[.]83	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]84	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]88	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]89	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]90	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]91	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]93	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]94	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]95	ipv4	blocklist_de_ssh,ci_army_list,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,cins,greensnow,scanner,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]155[.]97	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]47[.]146[.]211	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
199[.]71[.]214[.]13	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]91[.]221[.]58	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]96[.]144[.]110	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
